,bike_id,weekday,start_hour,start_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_time,end_station_id,end_station_name,end_station_latitude,end_station_longitude,trip_duration,subscriber,birth_year,gender,gender_category,trip_duration_min,start_year,start_month,start_week,start_day,end_year,end_month,end_week,end_day,end_hour,days_category,peak_hours,avg_trip_duration_each_hour,day_of_week,hours_category
18902,17503,Fri,1,2013-09-13 01:19:03,489,10 Ave & W 28 St,40.75066386,-74.00176802,2013-09-13 01:38:27,477,W 41 St & 8 Ave,40.75640548,-73.9900262,1164,Subscriber,1967.0,1,Male,19,2013,9,37,13,2013,9,37,13,1,Weekdays,Normal hours,13.1,6,0am - 5am
18912,15925,Wed,5,2013-09-18 05:45:05,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,2013-09-18 06:08:46,329,Greenwich St & N Moore St,40.72043411,-74.01020609,1421,Subscriber,1963.0,1,Male,23,2013,9,38,18,2013,9,38,18,6,Weekdays,Normal hours,10.2,4,0am - 5am
18933,17386,Sun,1,2013-09-08 01:53:35,355,Bayard St & Baxter St,40.71602118,-73.99974372,2013-09-08 02:01:24,307,Canal St & Rutgers St,40.71427487,-73.98990025,469,Subscriber,1976.0,2,Female,7,2013,9,36,8,2013,9,36,8,2,Weekend,Normal hours,13.1,1,0am - 5am
18944,20611,Sat,0,2013-09-28 00:24:05,482,W 15 St & 7 Ave,40.73935542,-73.99931783,2013-09-28 00:53:44,152,Warren St & Church St,40.71473993,-74.00910627,1779,Non-Subscriber,,0,Unknown,29,2013,9,39,28,2013,9,39,28,0,Weekend,Normal hours,13.1,7,0am - 5am
18976,19601,Sat,0,2013-09-07 00:20:42,345,W 13 St & 6 Ave,40.73649403,-73.99704374,2013-09-07 00:24:46,382,University Pl & E 14 St,40.73492695,-73.99200509,244,Subscriber,1963.0,2,Female,4,2013,9,36,7,2013,9,36,7,0,Weekend,Normal hours,13.1,7,0am - 5am
19013,19767,Wed,0,2013-09-25 00:13:54,325,E 19 St & 3 Ave,40.73624527,-73.98473765,2013-09-25 00:21:41,383,Greenwich Ave & Charles St,40.735238,-74.000271,467,Subscriber,1985.0,1,Male,7,2013,9,39,25,2013,9,39,25,0,Weekdays,Normal hours,13.1,4,0am - 5am
19024,20571,Thu,0,2013-09-19 00:31:55,300,Shevchenko Pl & E 6 St,40.728145,-73.990214,2013-09-19 00:51:28,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,1173,Subscriber,1990.0,2,Female,19,2013,9,38,19,2013,9,38,19,0,Weekdays,Normal hours,13.1,5,0am - 5am
19043,16942,Mon,1,2013-09-16 01:53:44,465,Broadway & W 41 St,40.75513557,-73.98658032,2013-09-16 01:58:23,479,9 Ave & W 45 St,40.76019252,-73.9912551,279,Subscriber,1992.0,2,Female,4,2013,9,38,16,2013,9,38,16,1,Weekdays,Normal hours,13.1,2,0am - 5am
19198,19886,Sat,0,2013-09-28 00:02:48,300,Shevchenko Pl & E 6 St,40.728145,-73.990214,2013-09-28 00:16:49,453,W 22 St & 8 Ave,40.74475148,-73.99915362,841,Subscriber,1983.0,1,Male,14,2013,9,39,28,2013,9,39,28,0,Weekend,Normal hours,13.1,7,0am - 5am
19237,17796,Sun,0,2013-09-01 00:43:41,2003,1 Ave & E 18 St,40.73416059,-73.98024289,2013-09-01 00:47:11,433,E 13 St & Avenue A,40.72955361,-73.98057249,210,Subscriber,1980.0,1,Male,3,2013,9,35,1,2013,9,35,1,0,Weekend,Normal hours,13.1,1,0am - 5am
19306,14575,Mon,2,2013-09-02 02:07:46,507,E 25 St & 2 Ave,40.73912601,-73.97973776,2013-09-02 02:16:32,237,E 11 St & 2 Ave,40.73047309,-73.98672378,526,Non-Subscriber,,0,Unknown,8,2013,9,36,2,2013,9,36,2,2,Weekdays,Normal hours,12.2,2,0am - 5am
19376,15657,Fri,3,2013-09-20 03:19:42,546,E 30 St & Park Ave S,40.74444921,-73.98303529,2013-09-20 03:41:01,515,W 43 St & 10 Ave,40.76009437,-73.99461843,1279,Subscriber,1986.0,1,Male,21,2013,9,38,20,2013,9,38,20,3,Weekdays,Normal hours,11.6,6,0am - 5am
19386,19087,Fri,0,2013-09-06 00:26:35,446,W 24 St & 7 Ave,40.74487634,-73.99529885,2013-09-06 00:36:34,174,E 25 St & 1 Ave,40.7381765,-73.97738662,599,Subscriber,1977.0,1,Male,9,2013,9,36,6,2013,9,36,6,0,Weekdays,Normal hours,13.1,6,0am - 5am
19410,15390,Sat,5,2013-09-28 05:23:29,545,E 23 St & 1 Ave,40.736502,-73.97809472,2013-09-28 05:34:02,509,9 Ave & W 22 St,40.7454973,-74.00197139,633,Subscriber,1987.0,1,Male,10,2013,9,39,28,2013,9,39,28,5,Weekend,Normal hours,10.2,7,0am - 5am
19456,20047,Sun,0,2013-09-15 00:27:19,450,W 49 St & 8 Ave,40.76227205,-73.98788205,2013-09-15 00:28:22,450,W 49 St & 8 Ave,40.76227205,-73.98788205,63,Subscriber,1980.0,1,Male,1,2013,9,37,15,2013,9,37,15,0,Weekend,Normal hours,13.1,1,0am - 5am
19462,16107,Sat,5,2013-09-21 05:30:37,318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,2013-09-21 05:36:49,492,W 33 St & 7 Ave,40.75019995,-73.99093085,372,Subscriber,1957.0,1,Male,6,2013,9,38,21,2013,9,38,21,5,Weekend,Normal hours,10.2,7,0am - 5am
19544,14975,Fri,0,2013-09-13 00:28:06,379,W 31 St & 7 Ave,40.749156,-73.9916,2013-09-13 01:02:37,384,Fulton St & Waverly Ave,40.68317813,-73.9659641,2071,Subscriber,1968.0,1,Male,34,2013,9,37,13,2013,9,37,13,1,Weekdays,Normal hours,13.1,6,0am - 5am
